"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2025";"28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços";"30203 - Instituto Nacional de Metrologia, Qualidade e Tecnologia";"3.919.370,49";"1.799.779,09";"1.760.102,13";"32.092.787,57";
"01/2025";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";"24208 - Instituto Nacional de Tecnologia da Informação";"14.365.231,85";"166,95";"0,00";"2.485.735,73";
"01/2025";"33000 - Ministério da Previdência Social";"37202 - Instituto Nacional do Seguro Social";"30.666.663.671,28";"2.343.190.566,35";"1.172.763.868,48";"5.815.407.868,08";
"01/2025";"22000 - Ministério da Agricultura e Pecuária";"22000 - Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"434.196.103,19";"1.525.493,59";"615.525,38";"508.093.625,73";
"01/2025";"24000 - Ministério da Ciência, Tecnologia e Inovação";"24000 - Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto";"1.929.088.697,63";"13.217.304,61";"13.203.331,47";"175.553.882,45";
"01/2025";"42000 - Ministério da Cultura";"42000 - Ministério da Cultura - Unidades com vínculo direto";"112.182.786,96";"50.126,77";"42.716,43";"38.554.474,09";
"01/2025";"52000 - Ministério da Defesa";"52000 - Ministério da Defesa - Unidades com vínculo direto";"298.794.421,33";"554.703,82";"416.239,29";"81.276.767,96";
"01/2025";"26000 - Ministério da Educação";"26000 - Ministério da Educação - Unidades com vínculo direto";"153.248.478,20";"651.014,24";"593.693,67";"115.315.292,19";
"01/2025";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"1.141.601.201.274,45";"573.260.945.633,67";"572.746.452.535,84";"17.529.565.046,78";
"01/2025";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos - Unidades com vínculo direto";"9.783.542.796,07";"2.467.500,61";"1.126.924,91";"1.995.923.437,03";
"01/2025";"67000 - Ministério da Igualdade Racial";"67000 - Ministério da Igualdade Racial - Unidades com vínculo direto";"15.070.844,03";"1.516.011,28";"145.439,03";"7.288.858,20";
"01/2025";"53000 - Ministério da Integração e do Desenvolvimento Regional";"53000 - Ministério da Integração e do Desenvolvimento Regional - Unidades com vínculo direto";"20.276.713,09";"10.229.594,93";"159.371,89";"77.791.509,31";
"01/2025";"30000 - Ministério da Justiça e Segurança Pública";"30000 - Ministério da Justiça e Segurança Pública - Unidades com vínculo direto";"662.679.357,37";"15.460.992,84";"347.761,04";"62.067.327,86";
"01/2025";"58000 - Ministério da Pesca e Aquicultura";"58000 - Ministério da Pesca e Aquicultura - Unidades com vínculo direto";"342.685,93";"135.631,93";"134.770,90";"8.856.833,27";
"01/2025";"33000 - Ministério da Previdência Social";"33000 - Ministério da Previdência Social - Unidades com vínculo direto";"2.117.578.517,00";"143.433.599,50";"51.029.865,16";"100.543.974,98";
"01/2025";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"30.317.952.749,53";"9.070.281.890,92";"8.255.482.994,63";"4.712.978.312,95";
"01/2025";"56000 - Ministério das Cidades";"56000 - Ministério das Cidades - Unidades com vínculo direto";"67.037.650,49";"0,00";"0,00";"209.373.650,80";
"01/2025";"41000 - Ministério das Comunicações";"41000 - Ministério das Comunicações - Unidades com vínculo direto";"65.336.916,03";"0,00";"0,00";"6.872.078,82";
